name,position,team,GW,OPP,Pts,Mins.P,Gls_S,Assists,Cln_Sht,Gls_Csd,Own_gls,Pen_Sc,Pen_Msd,YC,RC,Saves,Bonus,BPS,Inf,Crt,Thrt,ICT,Net_T,SB,price_£
Bruno Miguel Borges Fernandes,Midfielder,Man Utd,30,BHA (H) 2 - 1,5,90,0,1,0,1,0,0,0,0,0,0,0,24,42.4,48.4,38.0,12.9,233834,4758105,11.5
Harry Kane,Forward,Spurs,30,NEW (A) 2 - 2,13,90,2,0,0,2,0,0,0,0,0,0,3,50,78.2,4.9,126.0,20.9,169312,3836834,11.6
Heung-Min Son,Midfielder,Spurs,30,NEW (A) 2 - 2,1,45,0,0,0,1,0,0,0,0,0,0,0,4,3.2,3.7,4.0,1.1,-318829,3505985,9.4
Mohamed Salah,Midfielder,Liverpool,30,ARS (A) 0 - 3,8,90,1,0,1,0,0,0,0,0,0,0,0,20,35.8,17.4,91.0,14.4,13576,2363814,12.4
Emiliano Martínez,Goalkeeper,Aston Villa,30,FUL (H) 3 - 1,4,90,0,0,0,1,0,0,0,0,0,6,0,21,39.0,0.0,0.0,3.9,1494,3383221,5.4
Patrick Bamford,Forward,Leeds,30,SHU (H) 2 - 1,2,64,0,0,0,1,0,0,0,0,0,0,0,4,8.6,31.6,48.0,8.8,31509,3994734,6.7
Jamie Vardy,Forward,Leicester,30,MCI (H) 0 - 2,2,90,0,0,0,2,0,0,0,0,0,0,0,7,4.2,1.5,0.0,0.6,-19411,1512599,10.1
Marcus Rashford,Midfielder,Man Utd,30,BHA (H) 2 - 1,8,71,1,0,0,1,0,0,0,0,0,0,1,25,48.2,22.6,42.0,11.3,12055,722009,9.5
Ollie Watkins,Forward,Aston Villa,30,FUL (H) 3 - 1,7,90,1,0,0,1,0,0,0,0,0,0,1,25,36.4,13.3,49.0,9.9,-119638,2161095,6.6
Stuart Dallas,Defender,Leeds,30,SHU (H) 2 - 1,2,90,0,0,0,1,0,0,0,0,0,0,0,13,6.2,14.5,16.0,3.7,7247,2076554,5.1
Dominic Calvert-Lewin,Forward,Everton,30,CRY (H) 1 - 1,2,90,0,0,0,1,0,0,0,0,0,0,0,-1,14.4,15.3,28.0,5.8,65519,2979067,7.6
Illan Meslier,Goalkeeper,Leeds,30,SHU (H) 2 - 1,2,90,0,0,0,1,0,0,0,0,0,0,0,8,3.6,0.0,0.0,0.4,11197,570869,4.7
Ederson Santana de Moraes,Goalkeeper,Man City,30,LEI (A) 0 - 2,5,90,0,0,1,0,0,0,0,1,0,2,0,21,13.2,0.0,0.0,1.3,-12126,779404,6.1
Ilkay Gündogan,Midfielder,Man City,30,LEI (A) 0 - 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,10715,2858488,6.1
James Ward-Prowse,Midfielder,Southampton,30,BUR (H) 3 - 2,2,90,0,0,0,2,0,0,0,0,0,0,0,15,21.2,17.8,12.0,5.1,659,812568,5.9
Mason Mount,Midfielder,Chelsea,30,WBA (H) 2 - 5,6,45,1,0,0,3,0,0,0,0,0,0,0,18,39.0,6.4,40.0,8.5,219264,1355802,7.1
Raheem Sterling,Midfielder,Man City,30,LEI (A) 0 - 2,4,27,0,1,0,0,0,0,0,0,0,0,0,14,17.4,10.9,4.0,3.2,-47066,479278,11.4
Aaron Cresswell,Defender,West Ham,30,WOL (A) 2 - 3,1,90,0,0,0,2,0,0,0,0,0,0,0,11,6.6,14.3,0.0,2.1,-7051,2332090,5.9
Nick Pope,Goalkeeper,Burnley,30,SOU (A) 3 - 2,2,90,0,0,0,3,0,0,0,0,0,5,0,20,35.2,0.0,0.0,3.5,-16578,1054947,5.5
Sadio Mané,Midfielder,Liverpool,30,ARS (A) 0 - 3,6,90,0,1,1,0,0,0,0,0,0,0,0,15,31.2,15.8,46.0,9.3,7032,396390,11.8
Rúben Santos Gato Alves Dias,Defender,Man City,30,LEI (A) 0 - 2,6,90,0,0,1,0,0,0,0,0,0,0,0,26,23.4,3.4,0.0,2.7,12059,1960438,6.1
Hugo Lloris,Goalkeeper,Spurs,30,NEW (A) 2 - 2,2,90,0,0,0,2,0,0,0,0,0,4,0,18,30.2,0.0,0.0,3.0,-3680,530992,5.6
Jack Harrison,Midfielder,Leeds,30,SHU (H) 2 - 1,13,90,1,1,0,1,0,0,0,0,0,0,3,34,44.6,12.2,63.0,12.0,-3212,243134,5.4
Riyad Mahrez,Midfielder,Man City,30,LEI (A) 0 - 2,3,78,0,0,1,0,0,0,0,0,0,0,0,0,9.8,15.4,44.0,6.9,59876,620100,8.2
Aaron Wan-Bissaka,Defender,Man Utd,30,BHA (H) 2 - 1,2,90,0,0,0,1,0,0,0,0,0,0,0,12,13.0,29.8,0.0,4.3,13584,1380844,5.7
Matheus Pereira,Midfielder,West Brom,30,CHE (A) 2 - 5,21,90,2,2,0,2,0,0,0,0,0,0,3,69,114.4,40.8,66.0,22.1,-6709,98328,5.3
Tomas Soucek,Midfielder,West Ham,30,WOL (A) 2 - 3,1,90,0,0,0,2,0,0,0,1,0,0,0,7,7.6,11.2,2.0,2.1,-29585,1159993,5.3
Sam Johnstone,Goalkeeper,West Brom,30,CHE (A) 2 - 5,5,90,0,1,0,2,0,0,0,0,0,5,0,32,50.8,10.0,0.0,6.1,-320,200217,4.5
Jarrod Bowen,Midfielder,West Ham,30,WOL (A) 2 - 3,6,54,1,0,0,2,0,0,0,0,0,0,0,16,34.8,2.3,40.0,7.7,-3019,135709,5.9
Jack Grealish,Midfielder,Aston Villa,30,FUL (H) 3 - 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-22329,1424878,7.5
Andrew Robertson,Defender,Liverpool,30,ARS (A) 0 - 3,7,60,0,0,1,0,0,0,0,0,0,0,1,33,16.0,21.8,2.0,4.0,-15898,1081796,7.1
João Pedro Cavaco Cancelo,Defender,Man City,30,LEI (A) 0 - 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-67288,1641327,6.1
Kevin De Bruyne,Midfielder,Man City,30,LEI (A) 0 - 2,3,87,0,0,1,0,0,0,0,0,0,0,0,19,12.2,44.3,2.0,5.9,157851,1586998,11.9
Edouard Mendy,Goalkeeper,Chelsea,30,WBA (H) 2 - 5,0,90,0,0,0,5,0,0,0,0,0,2,0,12,16.4,0.0,0.0,1.6,136837,751648,5.2
James Maddison,Midfielder,Leicester,30,MCI (H) 0 - 2,1,18,0,0,0,1,0,0,0,0,0,0,0,2,2.2,1.4,18.0,2.2,9458,362766,7.1
Trent Alexander-Arnold,Defender,Liverpool,30,ARS (A) 0 - 3,12,90,0,1,1,0,0,0,0,0,0,0,3,39,39.4,57.1,14.0,11.1,626,1065502,7.3
Alexandre Lacazette,Forward,Arsenal,30,LIV (H) 0 - 3,2,90,0,0,0,3,0,0,0,0,0,0,0,0,10.2,0.6,2.0,1.3,-5182,482407,8.2
Lewis Dunk,Defender,Brighton,30,MUN (A) 2 - 1,1,90,0,0,0,2,0,0,0,0,0,0,0,12,23.6,0.2,17.0,4.1,-118069,681085,5.0
Chris Wood,Forward,Burnley,30,SOU (A) 3 - 2,10,90,1,1,0,3,0,0,0,0,0,0,1,34,58.4,13.3,88.0,16.0,4284,78931,6.2
Kasper Schmeichel,Goalkeeper,Leicester,30,MCI (H) 0 - 2,1,90,0,0,0,2,0,0,0,0,0,2,0,12,20.8,0.0,0.0,2.1,-15486,782218,5.4
Harvey Barnes,Midfielder,Leicester,30,MCI (H) 0 - 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-44038,285183,6.7
