name,position,team,GW,OPP,Pts,Mins.P,Gls_S,Assists,Cln_Sht,Gls_Csd,Own_gls,Pen_Sc,Pen_Msd,YC,RC,Saves,Bonus,BPS,Inf,Crt,Thrt,ICT,Net_T,SB,price_£
Bruno Miguel Borges Fernandes,Midfielder,Man Utd,2,CRY (H) 1 - 3,2,90,0,0,0,3,0,0,0,0,0,0,0,13,25.6,78.4,25.0,12.9,451998,1623046,10.5
Bruno Miguel Borges Fernandes,Midfielder,Man Utd,3,BHA (A) 2 - 3,12,90,1,1,0,2,0,0,0,1,0,0,3,40,60.6,40.8,19.0,12.0,-274258,1344788,10.5
Bruno Miguel Borges Fernandes,Midfielder,Man Utd,4,TOT (H) 1 - 6,6,45,1,0,0,4,0,0,0,0,0,0,0,21,35.4,16.6,23.0,7.5,76237,1473422,10.5
Bruno Miguel Borges Fernandes,Midfielder,Man Utd,5,NEW (A) 1 - 4,11,90,1,1,0,1,0,0,1,0,0,0,3,49,85.4,78.7,56.0,22.0,-1258,1508759,10.5
Bruno Miguel Borges Fernandes,Midfielder,Man Utd,6,CHE (H) 0 - 0,3,90,0,0,1,0,0,0,0,0,0,0,0,14,18.6,60.9,16.0,9.6,85046,1609144,10.5
Bruno Miguel Borges Fernandes,Midfielder,Man Utd,7,ARS (H) 0 - 1,2,74,0,0,0,1,0,0,0,0,0,0,0,7,9.2,17.5,8.0,3.5,-17677,1601697,10.5
Bruno Miguel Borges Fernandes,Midfielder,Man Utd,8,EVE (A) 1 - 3,17,90,2,1,0,1,0,0,0,1,0,0,3,51,93.6,21.2,58.0,17.3,-108368,1495550,10.5
Bruno Miguel Borges Fernandes,Midfielder,Man Utd,9,WBA (H) 1 - 0,11,90,1,0,1,0,0,0,0,0,0,0,3,44,58.0,86.5,56.0,20.1,1033358,2644080,10.7
Bruno Miguel Borges Fernandes,Midfielder,Man Utd,10,SOU (A) 2 - 3,10,90,1,1,0,2,0,0,0,0,0,0,0,26,35.6,20.1,54.0,11.0,241785,2832510,10.8
Bruno Miguel Borges Fernandes,Midfielder,Man Utd,11,WHU (A) 1 - 3,6,45,0,1,0,0,0,0,0,0,0,0,2,31,35.2,87.0,0.0,12.2,242451,3103036,10.9
Bruno Miguel Borges Fernandes,Midfielder,Man Utd,12,MCI (H) 0 - 0,3,90,0,0,1,0,0,0,0,0,0,0,0,7,17.2,27.7,37.0,8.2,-32910,3049874,10.9
Bruno Miguel Borges Fernandes,Midfielder,Man Utd,13,SHU (A) 2 - 3,2,79,0,0,0,1,0,0,0,0,0,0,0,7,6.6,15.9,1.0,2.4,173773,3258678,11.0
Bruno Miguel Borges Fernandes,Midfielder,Man Utd,14,LEE (H) 6 - 2,17,70,2,1,0,1,0,0,0,0,0,0,2,64,94.0,36.9,54.0,18.5,-5647,3248370,11.0
Bruno Miguel Borges Fernandes,Midfielder,Man Utd,15,LEI (A) 2 - 2,12,90,1,1,0,2,0,0,0,1,0,0,3,39,58.4,40.4,47.0,14.6,88219,3359878,11.0
Bruno Miguel Borges Fernandes,Midfielder,Man Utd,16,WOL (H) 1 - 0,6,90,0,1,1,0,0,0,0,0,0,0,0,16,35.6,45.2,55.0,13.6,264327,3644822,11.1
Bruno Miguel Borges Fernandes,Midfielder,Man Utd,17,AVL (H) 2 - 1,10,86,1,0,0,1,0,0,0,0,0,0,3,34,47.4,55.7,52.0,15.5,213222,3869250,11.2
