name,position,team,GW,OPP,Pts,Mins.P,Gls_S,Assists,Cln_Sht,Gls_Csd,Own_gls,Pen_Sc,Pen_Msd,YC,RC,Saves,Bonus,BPS,Inf,Crt,Thrt,ICT,Net_T,SB,price_£
Bruno Miguel Borges Fernandes,Midfielder,Man Utd,4,TOT (H) 1 - 6,6,45,1,0,0,4,0,0,0,0,0,0,0,21,35.4,16.6,23.0,7.5,76237,1473422,10.5
Harry Kane,Forward,Spurs,4,MUN (A) 1 - 6,16,90,2,1,0,1,0,0,0,0,0,0,3,64,88.8,32.2,75.0,19.6,-37357,1208153,10.5
Heung-Min Son,Midfielder,Spurs,4,MUN (A) 1 - 6,18,72,2,1,0,1,0,0,0,0,0,0,3,64,91.4,62.2,52.0,20.6,-1308054,1011225,9.0
Mohamed Salah,Midfielder,Liverpool,4,AVL (A) 7 - 2,13,90,2,0,0,7,0,0,0,0,0,0,1,54,78.2,41.8,44.0,16.4,279768,2941545,12.2
Emiliano Martínez,Goalkeeper,Aston Villa,4,LIV (H) 7 - 2,3,90,0,0,0,2,0,0,0,0,0,6,0,22,42.0,0.0,0.0,4.2,154802,970195,4.6
Patrick Bamford,Forward,Leeds,4,MCI (H) 1 - 1,1,90,0,0,0,1,0,0,0,1,0,0,0,-2,5.2,0.9,74.0,8.0,307756,1753114,5.8
Jamie Vardy,Forward,Leicester,4,WHU (H) 0 - 3,2,90,0,0,0,3,0,0,0,0,0,0,0,-2,2.6,1.4,14.0,1.8,296313,1743133,10.1
Marcus Rashford,Midfielder,Man Utd,4,TOT (H) 1 - 6,2,90,0,0,0,6,0,0,0,0,0,0,0,4,5.6,14.9,2.0,2.3,46715,445218,9.5
Ollie Watkins,Forward,Aston Villa,4,LIV (H) 7 - 2,19,90,3,1,0,2,0,0,0,0,0,0,2,77,124.8,25.7,92.0,24.3,-21395,88058,6.0
Stuart Dallas,Defender,Leeds,4,MCI (H) 1 - 1,1,90,0,0,0,1,0,0,0,1,0,0,0,11,22.8,12.2,33.0,6.8,6112,349548,4.5
Dominic Calvert-Lewin,Forward,Everton,4,BHA (H) 4 - 2,6,90,1,0,0,2,0,0,0,0,0,0,0,28,41.8,2.3,49.0,9.3,940107,2963753,7.5
Illan Meslier,Goalkeeper,Leeds,4,MCI (H) 1 - 1,2,90,0,0,0,1,0,0,0,0,0,1,0,11,3.0,0.0,0.0,0.3,36748,166512,4.5
Ederson Santana de Moraes,Goalkeeper,Man City,4,LEE (A) 1 - 1,4,90,0,0,0,1,0,0,0,0,0,6,0,17,42.8,0.0,0.0,4.3,-28151,362349,6.0
Ilkay Gündogan,Midfielder,Man City,4,LEE (A) 1 - 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-5634,19094,5.4
James Ward-Prowse,Midfielder,Southampton,4,WBA (H) 2 - 0,3,90,0,0,1,0,0,0,0,0,0,0,0,13,12.2,44.2,0.0,5.6,-16855,182780,5.9
Mason Mount,Midfielder,Chelsea,4,CRY (H) 4 - 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,119900,561764,6.9
Raheem Sterling,Midfielder,Man City,4,LEE (A) 1 - 1,9,90,1,0,0,1,0,0,0,0,0,0,2,21,43.2,54.3,69.0,16.7,54283,496951,11.5
Aaron Cresswell,Defender,West Ham,4,LEI (A) 0 - 3,15,90,0,2,1,0,0,0,0,0,0,0,3,57,52.8,52.5,0.0,10.5,77,61303,4.9
Nick Pope,Goalkeeper,Burnley,4,NEW (A) 3 - 1,1,90,0,0,0,3,0,0,0,0,0,2,0,9,8.2,0.0,0.0,0.8,-68364,960710,5.5
Sadio Mané,Midfielder,Liverpool,4,AVL (A) 7 - 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-160742,557038,11.9
Rúben Santos Gato Alves Dias,Defender,Man City,4,LEE (A) 1 - 1,2,90,0,0,0,1,0,0,0,0,0,0,0,13,19.8,0.5,8.0,2.8,6169,7762,5.5
Hugo Lloris,Goalkeeper,Spurs,4,MUN (A) 1 - 6,2,90,0,0,0,1,0,0,0,0,0,1,0,11,6.4,0.0,0.0,0.6,-30652,330050,5.5
Jack Harrison,Midfielder,Leeds,4,MCI (H) 1 - 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-51914,150431,5.5
Riyad Mahrez,Midfielder,Man City,4,LEE (A) 1 - 1,2,76,0,0,0,1,0,0,0,0,0,0,0,6,3.0,29.8,5.0,3.8,220611,374253,8.5
Aaron Wan-Bissaka,Defender,Man Utd,4,TOT (H) 1 - 6,-1,90,0,0,0,6,0,0,0,0,0,0,0,13,27.0,3.1,2.0,3.2,-106230,668279,5.4
Matheus Pereira,Midfielder,West Brom,4,SOU (A) 2 - 0,2,90,0,0,0,2,0,0,0,0,0,0,0,9,7.2,18.3,10.0,3.6,82914,264047,6.0
Tomas Soucek,Midfielder,West Ham,4,LEI (A) 0 - 3,3,90,0,0,1,0,0,0,0,0,0,0,0,6,13.6,1.6,13.0,2.8,-4259,266731,5.0
Sam Johnstone,Goalkeeper,West Brom,4,SOU (A) 2 - 0,3,90,0,0,0,2,0,0,0,0,0,6,0,20,39.2,0.0,0.0,3.9,285,50768,4.5
Jarrod Bowen,Midfielder,West Ham,4,LEI (A) 0 - 3,8,87,1,0,1,0,0,0,0,0,0,0,0,32,45.2,21.8,45.0,11.2,24899,82921,6.3
Jack Grealish,Midfielder,Aston Villa,4,LIV (H) 7 - 2,24,90,2,3,0,2,0,0,0,0,0,0,3,90,131.4,54.7,60.0,24.6,-8464,665271,7.0
Andrew Robertson,Defender,Liverpool,4,AVL (A) 7 - 2,-1,90,0,0,0,7,0,0,0,0,0,0,0,13,24.4,27.2,31.0,8.3,108222,1025161,7.0
João Pedro Cavaco Cancelo,Defender,Man City,4,LEE (A) 1 - 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-11691,34491,5.4
Kevin De Bruyne,Midfielder,Man City,4,LEE (A) 1 - 1,2,90,0,0,0,1,0,0,0,0,0,0,0,11,19.2,71.3,53.0,14.4,162180,3145452,11.7
Edouard Mendy,Goalkeeper,Chelsea,4,CRY (H) 4 - 0,6,90,0,0,1,0,0,0,0,0,0,0,0,20,5.0,0.0,0.0,0.5,22224,48377,5.0
James Maddison,Midfielder,Leicester,4,WHU (H) 0 - 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,132793,259670,7.0
Trent Alexander-Arnold,Defender,Liverpool,4,AVL (A) 7 - 2,-1,90,0,0,0,7,0,0,0,0,0,0,0,17,18.2,17.1,18.0,5.3,-50240,3037764,7.5
Alexandre Lacazette,Forward,Arsenal,4,SHU (H) 2 - 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,29347,395242,8.5
Lewis Dunk,Defender,Brighton,4,EVE (A) 4 - 2,0,90,0,0,0,4,0,0,0,0,0,0,0,14,13.6,3.2,1.0,1.8,-55557,456061,5.0
Chris Wood,Forward,Burnley,4,NEW (A) 3 - 1,2,90,0,0,0,3,0,0,0,0,0,0,0,2,1.2,1.1,33.0,3.5,-20647,138067,6.5
Kasper Schmeichel,Goalkeeper,Leicester,4,WHU (H) 0 - 3,2,90,0,0,0,3,0,0,0,0,0,3,0,15,23.8,0.0,0.0,2.4,-3696,905317,5.5
Harvey Barnes,Midfielder,Leicester,4,WHU (H) 0 - 3,2,90,0,0,0,3,0,0,0,0,0,0,0,6,1.6,4.9,12.0,1.9,242823,522260,7.1
Benjamin Chilwell,Defender,Chelsea,4,CRY (H) 4 - 0,18,90,1,1,1,0,0,0,0,0,0,0,3,51,64.2,56.7,27.0,14.8,7687,122194,5.5
Rui Pedro dos Santos Patrício,Goalkeeper,Wolves,4,FUL (H) 1 - 0,6,90,0,0,1,0,0,0,0,0,0,2,0,24,18.2,0.0,0.0,1.8,1128,489036,5.5
Pedro Lomba Neto,Midfielder,Wolves,4,FUL (H) 1 - 0,8,81,1,0,1,0,0,0,0,0,0,0,0,25,40.4,35.3,36.0,11.2,29540,78653,5.5
Harry Maguire,Defender,Man Utd,4,TOT (H) 1 - 6,-1,90,0,0,0,6,0,0,0,0,0,0,0,7,0.0,0.9,2.0,0.3,-26765,240877,5.5
Matt Targett,Defender,Aston Villa,4,LIV (H) 7 - 2,1,90,0,0,0,2,0,0,0,0,0,0,0,11,13.0,0.6,0.0,1.4,-881,65893,4.5
Wilfried Zaha,Midfielder,Crystal Palace,4,CHE (A) 4 - 0,2,90,0,0,0,4,0,0,0,0,0,0,0,3,5.4,12.1,28.0,4.6,244879,1490194,7.2
Youri Tielemans,Midfielder,Leicester,4,WHU (H) 0 - 3,2,90,0,0,0,3,0,0,0,0,0,0,0,16,15.6,14.8,0.0,3.0,20467,143902,6.4
John Stones,Defender,Man City,4,LEE (A) 1 - 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-5411,38156,5.0
Luke Shaw,Defender,Man Utd,4,TOT (H) 1 - 6,-2,90,0,0,0,6,0,0,0,1,0,0,0,7,12.0,15.8,0.0,2.8,-15258,99298,5.0
Callum Wilson,Forward,Newcastle,4,BUR (H) 3 - 1,16,90,2,1,0,1,0,0,0,0,0,0,3,62,86.8,21.4,58.0,16.6,-33427,706711,6.4
Pierre-Emerick Aubameyang,Midfielder,Arsenal,4,SHU (H) 2 - 1,2,90,0,0,0,1,0,0,0,0,0,0,0,10,9.4,4.6,30.0,4.4,-120167,2000213,11.9
Lukasz Fabianski,Goalkeeper,West Ham,4,LEI (A) 0 - 3,6,90,0,0,1,0,0,0,0,0,0,0,0,19,0.2,0.0,0.0,0.0,-3556,94583,5.0
Leandro Trossard,Midfielder,Brighton,4,EVE (A) 4 - 2,5,90,0,1,0,4,0,0,0,0,0,0,0,14,0.0,17.4,43.0,5.9,59207,138726,6.0
Phil Foden,Midfielder,Man City,4,LEE (A) 1 - 1,2,90,0,0,0,1,0,0,0,0,0,0,0,8,8.0,26.2,42.0,7.6,66213,603199,6.6
Tyrone Mings,Defender,Aston Villa,4,LIV (H) 7 - 2,1,90,0,0,0,2,0,0,0,0,0,0,0,16,24.2,0.3,2.0,2.7,85306,268558,5.0
Timo Werner,Forward,Chelsea,4,CRY (H) 4 - 0,2,90,0,0,1,0,0,0,0,0,0,0,0,11,9.6,6.2,19.0,3.5,-679035,1810085,9.4
Alphonse Areola,Goalkeeper,Fulham,4,WOL (A) 1 - 0,3,90,0,0,0,1,0,0,0,0,0,4,0,17,26.2,0.0,0.0,2.6,-7566,89827,4.5
Danny Ings,Forward,Southampton,4,WBA (H) 2 - 0,2,90,0,0,1,0,0,0,0,0,0,0,0,9,6.8,23.5,26.0,5.6,208787,1480751,8.5
Che Adams,Forward,Southampton,4,WBA (H) 2 - 0,2,83,0,0,1,0,0,0,0,0,0,0,0,1,7.8,2.6,22.0,3.2,-13409,160259,5.9
Vicente Guaita,Goalkeeper,Crystal Palace,4,CHE (A) 4 - 0,0,90,0,0,0,4,0,0,0,0,0,2,0,12,16.6,0.0,0.0,1.7,4764,307883,5.0
Vladimir Coufal,Defender,West Ham,4,LEI (A) 0 - 3,5,90,0,0,1,0,0,0,0,1,0,0,0,21,19.2,24.8,0.0,4.4,260,326,4.5
Gylfi Sigurdsson,Midfielder,Everton,4,BHA (H) 4 - 2,5,90,0,1,0,2,0,0,0,0,0,0,0,26,34.2,27.0,22.0,8.3,-6765,74195,6.9
